RMSE,Method,Phantom,Seed,Nt,Dd,bins
0.14676882012967457,L1x₀DₓB,Single Channel,2000,500,30,30
0.1668737200880078,L2x₀DₓB,Single Channel,2000,500,30,30
0.14326154465382615,L0B,Single Channel,3000,500,30,30
0.1441222791372078,L1B,Single Channel,3000,500,30,30
0.14464358550570516,L2B,Single Channel,3000,500,30,30
0.1432632625552497,L0DₓB,Single Channel,3000,500,30,30
0.14414415077971626,L1DₓB,Single Channel,3000,500,30,30
0.1446565386005295,L2DₓB,Single Channel,3000,500,30,30
0.14014872772626716,L0x₀B,Single Channel,3000,500,30,30
0.15002539211533986,L1x₀B,Single Channel,3000,500,30,30
0.15002492861134747,L2x₀B,Single Channel,3000,500,30,30
0.1401505275132361,L0x₀DₓB,Single Channel,3000,500,30,30
0.10845044724486294,L1x₀DₓB,Single Channel,3000,500,30,30
0.1162545527915405,L2x₀DₓB,Single Channel,3000,500,30,30
0.12829997818546832,L0B,Single Channel,4000,500,30,30
0.1303531597070678,L1B,Single Channel,4000,500,30,30
0.1319920493679896,L2B,Single Channel,4000,500,30,30
0.007802348487411245,L0DₓB,Single Channel,4000,500,30,30
0.04418141870609916,L1DₓB,Single Channel,4000,500,30,30
0.12568340127286085,L2DₓB,Single Channel,4000,500,30,30
0.1311169436814744,L0x₀B,Single Channel,4000,500,30,30
0.15169404195737105,L1x₀B,Single Channel,4000,500,30,30
0.15169398845641963,L2x₀B,Single Channel,4000,500,30,30
0.006904676506213394,L0x₀DₓB,Single Channel,4000,500,30,30
0.10277143701090251,L1x₀DₓB,Single Channel,4000,500,30,30
0.15049352754678966,L2x₀DₓB,Single Channel,4000,500,30,30
0.1272205504923532,L0B,Single Channel,5000,500,30,30
0.12866824613483854,L1B,Single Channel,5000,500,30,30
0.12961258359026914,L2B,Single Channel,5000,500,30,30
0.005406200343825668,L0DₓB,Single Channel,5000,500,30,30
0.028937232569181473,L1DₓB,Single Channel,5000,500,30,30
0.04875187766905791,L2DₓB,Single Channel,5000,500,30,30
0.12737596062454612,L0x₀B,Single Channel,5000,500,30,30
0.1545724978347641,L1x₀B,Single Channel,5000,500,30,30
0.15456803724434773,L2x₀B,Single Channel,5000,500,30,30
0.005159035854628486,L0x₀DₓB,Single Channel,5000,500,30,30
0.09792755834841439,L1x₀DₓB,Single Channel,5000,500,30,30
0.10379416127290422,L2x₀DₓB,Single Channel,5000,500,30,30
0.14131675520179704,L0B,Single Channel,6000,500,30,30
0.14110202308730455,L1B,Single Channel,6000,500,30,30
0.14197777184731988,L2B,Single Channel,6000,500,30,30
0.10750274411323318,L0DₓB,Single Channel,6000,500,30,30
0.09968579922582149,L1DₓB,Single Channel,6000,500,30,30
0.14293962117297976,L2DₓB,Single Channel,6000,500,30,30
0.14106006666205026,L0x₀B,Single Channel,6000,500,30,30
0.15278300961537647,L1x₀B,Single Channel,6000,500,30,30
0.15278290388412777,L2x₀B,Single Channel,6000,500,30,30
0.12050955636220229,L0x₀DₓB,Single Channel,6000,500,30,30
0.11484826181188929,L1x₀DₓB,Single Channel,6000,500,30,30
0.15151933970981657,L2x₀DₓB,Single Channel,6000,500,30,30
0.15190141058822285,L0B,Single Channel,7000,500,30,30
0.15351397027375582,L1B,Single Channel,7000,500,30,30
0.1541524106295233,L2B,Single Channel,7000,500,30,30
0.15190311125938477,L0DₓB,Single Channel,7000,500,30,30
0.15351551950860937,L1DₓB,Single Channel,7000,500,30,30
0.15415367841226066,L2DₓB,Single Channel,7000,500,30,30
0.1681364378408492,L0x₀B,Single Channel,7000,500,30,30
0.16813645448262818,L1x₀B,Single Channel,7000,500,30,30
0.16813663257004677,L2x₀B,Single Channel,7000,500,30,30
0.16813643781857024,L0x₀DₓB,Single Channel,7000,500,30,30
0.16813646104830768,L1x₀DₓB,Single Channel,7000,500,30,30
0.16813674702255976,L2x₀DₓB,Single Channel,7000,500,30,30
0.1515292947067678,L0B,Single Channel,8000,500,30,30
0.1533539934094506,L1B,Single Channel,8000,500,30,30
0.15393998236753265,L2B,Single Channel,8000,500,30,30
0.15153072399445724,L0DₓB,Single Channel,8000,500,30,30
0.15335552258047433,L1DₓB,Single Channel,8000,500,30,30
0.15394105382137718,L2DₓB,Single Channel,8000,500,30,30
0.15371642894842996,L0x₀B,Single Channel,8000,500,30,30
0.15609471395062316,L1x₀B,Single Channel,8000,500,30,30
0.15609480804712692,L2x₀B,Single Channel,8000,500,30,30
0.1537181536338019,L0x₀DₓB,Single Channel,8000,500,30,30
0.155937512705056,L1x₀DₓB,Single Channel,8000,500,30,30
0.15594031122844923,L2x₀DₓB,Single Channel,8000,500,30,30
0.13670577426701755,L0B,Single Channel,9000,500,30,30
0.13780693984363482,L1B,Single Channel,9000,500,30,30
0.13834319728549707,L2B,Single Channel,9000,500,30,30
0.02466772942120717,L0DₓB,Single Channel,9000,500,30,30
0.06669339231399155,L1DₓB,Single Channel,9000,500,30,30
0.14079103740738858,L2DₓB,Single Channel,9000,500,30,30
0.14141715609513775,L0x₀B,Single Channel,9000,500,30,30
0.15287312107373072,L1x₀B,Single Channel,9000,500,30,30
0.15290111040143473,L2x₀B,Single Channel,9000,500,30,30
0.04913208441335057,L0x₀DₓB,Single Channel,9000,500,30,30
0.15287509915241232,L1x₀DₓB,Single Channel,9000,500,30,30
